origin,destination,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
CH,EE,null,620,610,550,488,833,672,687,550,353,379,496,459,573,898,585,589
CH,EL,null,605986,579992,589364,568683,537475,476870,403538,445718,466322,411972,434433,426201,420299,379227,312679,289260
CH,ES,null,2485816,2474671,2478535,2400040,2161631,2117885,2464285,2411345,2276721,1881343,1706419,1832028,1733480,1555158,1242556,1025682
CH,FI,53050,162700,151875,142660,139816,164499,144140,129443,122620,139849,116891,116878,124621,113010,93531,71238,82209
CH,FR,null,2093223,2055290,1992330,1888698,1831754,1825512,1691213,1640047,1513029,1429653,1312999,1257039,1168651,1114764,1082451,1062953
CH,HR,null,154946,145732,128464,120934,105359,83203,73495,73586,62092,60059,59867,53455,null,null,null,null
CH,HU,null,316711,267098,219584,196209,189894,183753,222896,162543,197765,196414,209190,182666,177053,158784,153940,120871
CH,IE,null,226910,215761,197479,191456,172396,153050,160087,157769,144453,129752,138324,136028,130323,100000,91484,70278
CH,IS,7314,79100,85007,68008,58818,49258,34395,9731,7789,4890,4749,4698,4203,3569,3106,4520,4302
CH,IT,null,1200700,1266268,1201441,1146837,1053281,987017,944125,903547,823355,753909,718645,775555,739638,687731,632465,496879
CH,LT,null,254,194,1257,5185,1000,194,40,200,199,169,65,1461,5938,124,257,null
CH,LU,15392,91674,95269,96230,85919,89186,91882,85563,86536,76837,68004,65353,63448,58936,48485,39448,34064
CH,LV,null,65215,63630,45115,33980,39877,23019,23973,24230,24488,28483,21023,13116,10718,1482,937,402
CH,ME,null,18187,18349,15193,13558,null,null,null,null,null,null,null,null,null,null,null,null
CH,MK,null,75499,86446,83091,91326,76835,null,null,null,null,null,null,null,null,null,null,null
CH,MT,null,70935,72947,72545,64525,53565,45676,40590,42448,39378,34632,29806,28486,24129,26541,27253,26234
CH,NL,333798,1069981,1072179,1036754,949469,897905,689100,670335,658351,635223,573909,557146,600326,584679,565842,552128,549987
CH,NO,null,124126,119322,114121,104243,104854,119100,118459,118323,120435,112672,82433,56123,53614,36994,25355,22208
CH,PL,null,303782,268992,230663,201441,143983,159817,154433,143934,135312,125078,129061,131600,112732,100304,74214,68101
CH,PT,null,1310410,1233635,1143801,960078,831629,761877,727031,741000,684913,613516,572761,553106,426381,340575,290963,283203
CH,RO,null,116307,74966,85053,71193,93522,72883,72559,60235,42153,66406,61421,50203,42141,38495,32526,34201
CH,RS,null,272674,231992,198851,197331,null,null,null,null,null,null,null,null,null,null,null,null
CH,SE,null,305141,314881,300045,293696,296072,282186,252800,265511,260711,224177,225360,200255,175483,155441,141723,134093
CH,SI,null,44044,52391,54439,49093,62106,44966,43824,37562,36668,34696,33836,34195,26167,17566,12183,13040
CH,SK,157,374,450,603,615,479,651,662,552,562,365,730,740,263,247,6310,9762
CH,TR,null,673710,612923,541799,584297,675684,659307,632734,662693,null,null,null,null,null,null,null,null
CH,UK,null,2944591,2929150,2874834,2743098,2664942,2653543,2608880,2602376,2594359,2411637,2387314,2453979,2297255,2209894,1987651,1904892
CY,AT,null,154281,126359,112797,114296,115563,101327,86403,87772,72578,71949,78388,86055,75661,57726,64878,50742
CY,BE,null,32567,33942,39282,40298,27068,25445,28926,44640,37439,27970,24838,26591,27124,30797,29069,27269
CY,BG,19063,80707,75791,50896,40097,39550,32197,28624,32519,37519,39420,38498,43357,40874,null,null,null
CY,CH,null,89572,91822,62661,79048,60091,72224,57490,55249,49270,47379,44908,45217,49394,50794,47670,52761
CY,CY,null,22,1,6,3887,6434,11,122,5,6347,30712,51148,78839,85106,89169,85963,108066
CY,CZ,null,25407,18809,9300,8855,11531,8772,12105,18725,67080,63235,62684,59076,41039,40521,38687,40038
CY,DE,79766,193556,227153,216870,120539,123565,105372,124986,199008,189369,178722,156782,164695,169388,180978,211590,183247
CY,DK,null,53798,56156,41022,30610,26559,31872,31032,32990,36505,30260,28102,37186,34504,32076,29753,32619
CY,EE,null,20434,17082,2445,1567,2265,968,1237,1130,1043,118,1217,354,null,189,null,null
CY,EL,null,835653,852629,815544,744171,663879,570863,477845,570248,574342,600085,587755,623864,624790,545254,561158,523262
CY,ES,null,816,11518,10352,3264,3092,4921,9546,16746,20303,3341,929,787,1409,3164,4004,2969
CY,FI,2051,21642,23359,16413,15367,17328,23290,27058,27530,33802,30839,31037,30279,20625,30932,28880,31528
CY,FR,null,1040,14917,37251,33712,29784,36534,29489,40169,45274,52151,49023,57708,60084,58211,72889,70082
CY,HR,null,226,null,143,597,6,81,3,null,2,184,227,1179,null,null,null,null
CY,HU,null,65927,48479,28585,27212,24557,24327,30804,22323,38952,34288,32130,28776,29489,34819,30585,26626
CY,IE,null,18004,18252,6170,1971,null,null,3530,3747,6409,7940,15154,21013,30551,28914,37228,32950
CY,IS,null,null,null,null,null,null,null,null,null,null,null,174,null,null,null,null,null
CY,IT,null,60434,59904,40250,35321,38907,28044,58101,67167,40973,39554,41370,43422,39580,37271,35613,36545
CY,LT,null,30088,30123,26419,22083,21203,16985,6359,7916,null,829,410,2274,2247,2209,1077,null
CY,LU,51,282,10,128,39,152,142,214,2925,3951,3864,3760,4312,3995,264,0,12
CY,LV,null,29086,23296,7773,6265,6579,6960,3878,null,null,1,6,1390,2754,1716,1452,67
CY,ME,null,418,73,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CY,MK,null,6903,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CY,MT,null,18224,58599,52257,20489,45764,39055,38304,46636,47457,47431,55010,37896,34300,27142,9544,4980
CY,NL,8621,58147,45251,43025,34685,29465,42375,35696,45397,52339,53336,50366,51235,51621,55859,59149,63775
CY,NO,null,56049,50167,52599,46457,45722,57132,65629,67223,60312,61047,58357,56252,46249,47370,44531,43825
CY,PL,null,144808,145216,105734,80535,66600,52527,49952,45946,34676,30944,26938,31626,27066,23736,23585,20801
CY,PT,null,38,17,8,4,64,8,7,6,877,66,786,null,2,806,934,1606
CY,RO,null,127938,132724,115191,75578,62239,57225,53638,61193,81612,64654,47735,52385,38181,24993,18360,13900
CY,RS,null,29188,21299,21551,18846,null,null,null,null,null,null,null,null,null,null,null,null
CY,SE,null,124326,130489,119675,108928,100438,105177,115565,115716,106357,105723,106212,119798,117213,91703,83380,82228
CY,SI,null,2338,4536,175,null,null,null,81,null,1468,52,null,535,719,1131,1148,1085
CY,SK,7628,40309,31476,7633,5672,1429,7148,1737,1840,4892,1895,2685,3275,2938,5058,4896,5499
CY,UK,null,1556811,1532558,1513950,1366256,1207882,1147501,1165794,1260197,1330979,1299094,1353727,1479479,1486556,1500945,1496324,1386826
CZ,AT,null,91862,85686,80675,72559,77118,79349,80637,76125,77049,66404,63384,71353,93621,85429,84403,79899
CZ,BE,null,246479,244066,240184,210022,199265,148444,123353,112434,140954,139579,156634,154797,138213,110374,99600,89333
CZ,BG,48772,187060,191944,174477,139894,118141,105881,105129,124437,130004,120656,119330,154223,154418,null,null,null
CZ,CH,null,201092,209525,191587,161864,146286,166461,183594,163982,158792,158520,176304,188166,222747,166237,134161,105866
CZ,CY,null,25815,18848,9405,7858,9048,8956,11571,18095,64555,60978,61619,58775,41018,38808,38136,39844
CZ,CZ,null,32004,54596,47891,67623,91201,89822,86079,117149,115721,174277,205105,223440,195066,192597,159310,103539
CZ,DE,111725,570516,582216,622330,568643,574596,514256,535650,508009,566826,553667,499601,547554,558640,559246,494925,428155
CZ,DK,null,189482,148838,136263,123832,110389,99317,107971,96892,118696,119950,101757,137598,129436,116640,105301,112099
CZ,EE,null,0,72,67,110,0,173,347,12442,30876,32910,28639,42981,50880,43326,39024,28772
CZ,EL,null,456727,411719,384235,317683,350232,335680,305399,294308,306664,342448,407609,423755,373791,341633,280744,257687
CZ,ES,null,635617,618754,503105,424229,351590,314682,336265,353086,418864,380666,395585,441032,400066,299949,283210,256942
CZ,FI,22048,158045,162975,160567,140544,110981,105821,89957,71147,68741,65799,65530,68237,65304,64870,66161,54733
CZ,FR,null,583352,530391,521608,479643,430180,425747,469715,485440,503445,444172,405138,422993,389515,372859,321317,305406
CZ,HR,null,64656,50506,50429,41639,29595,25726,19691,14651,20459,24590,29628,32551,null,null,null,null
CZ,HU,null,115071,98645,54042,38670,31120,27556,31339,39258,75471,74942,78955,82680,89285,83328,87680,93527
CZ,IE,null,107133,106662,101731,97089,99975,76760,53514,51091,43276,62391,88103,163808,139161,129074,126102,108596
CZ,IS,2584,10469,14746,14918,1344,1984,1680,1349,3503,1332,921,1078,2180,2726,2246,2957,2480
CZ,IT,null,755941,692942,695981,523578,488623,451342,441688,452660,459100,419994,434400,457028,451277,369434,271261,254032
CZ,LT,null,9,11,11,20,879,6717,1666,9750,33453,35217,55233,44659,48491,48674,39952,null
CZ,LU,280,6702,6805,6345,5883,17,168,102,164,6367,7636,7402,2812,39,6240,8085,4082
CZ,LV,null,55055,29996,27716,21887,19590,16437,13459,10778,28725,30441,35438,38851,45365,45999,37660,37867
CZ,ME,null,8321,11442,10812,11295,null,null,null,null,null,null,null,null,null,null,null,null
CZ,MK,null,null,662,4408,5234,null,null,null,null,null,null,null,null,null,null,null,null
CZ,MT,null,13625,14718,18031,9950,6864,8357,6099,4831,4026,4997,4372,4106,3839,3594,5050,4180
CZ,NL,117488,448855,436196,413157,352365,284476,263353,257665,256855,269494,227667,202135,222221,204128,188985,173645,173390
CZ,NO,null,80287,100988,99294,92120,87394,75702,68931,56231,96578,118814,143612,131436,117511,118576,98661,57622
CZ,PL,null,142284,134908,109399,96977,88928,80099,76004,87138,110166,101326,86742,85677,78130,72419,59899,47544
CZ,PT,null,85550,98752,96068,59482,54456,45981,42424,36063,28779,25696,30311,32733,22693,18706,14599,18718
CZ,RO,null,55281,47218,41856,41546,41428,41123,39214,53162,54980,50945,50097,59461,65062,51554,43616,35261
CZ,RS,null,17969,21356,15473,12473,null,null,null,null,null,null,null,null,null,null,null,null
CZ,SE,null,151521,140154,140356,132533,114823,89543,93483,82415,91361,102797,109218,80261,62222,78962,63256,49893
CZ,SI,null,5192,6814,6643,6264,6504,5250,0,5357,18192,15207,15141,17868,18001,16775,12989,10522
CZ,SK,9229,27470,31989,36105,34821,31825,33042,28189,30661,52843,80509,89914,131463,116301,102065,96545,94240
CZ,TR,null,446130,367140,272639,210853,300374,273221,247537,241522,null,null,null,null,null,null,null,null
CZ,UK,null,1177649,1134880,1021693,965493,887172,750219,691458,682806,647726,634242,751660,908453,1030020,1071043,1170655,1034417
DE,AT,null,3698279,3599841,3562667,3439923,3433480,3409007,3297337,3300883,3243112,3055157,2801703,2943272,2826198,2498475,2283450,2094805
DE,BE,null,919512,936508,1037873,962395,869050,783298,759891,759860,762288,640936,643131,700344,684523,630583,545238,545710
DE,BG,405943,1055851,1158002,1053363,930285,709461,709283,658531,618260,620025,576594,576868,644343,643828,null,null,null
DE,CH,null,3431470,3492546,3468821,3278564,3129256,2991364,2953465,3040213,3051643,2711778,2657498,2731496,2634017,2384381,2055504,1879963
DE,CY,null,194338,228745,217399,119909,121582,102269,132428,201253,188374,193200,170076,171524,172609,188251,211751,199148
DE,CZ,null,586324,596690,638418,588218,577410,530959,551272,531357,582643,561240,514830,549055,558890,576730,509989,451820
DE,DE,5906785,23224980,23689049,23891475,23921812,23264709,23000394,22871041,23795766,24708251,24771715,24207169,25249904,24763399,23367408,22755127,22439026
DE,DK,null,1500946,1414295,1391343,1518326,1459266,1390612,1256947,1238002,1183229,1042210,969363,1077305,1066472,1042831,903598,881047
DE,EE,null,217171,222844,222572,202224,176583,160472,138518,154109,121980,75518,48768,94273,94290,111661,110802,74405
DE,EL,null,4049560,4013552,3500464,2880371,2633463,2530961,2162642,2038308,2287860,2229317,2351756,2507962,2654716,2576649,2581905,2550876
DE,ES,null,14588956,14880667,14378115,13890525,12625388,12333231,11575542,11125050,11176299,10587631,10268100,11059610,11067826,10187615,10315786,9712937
DE,FI,278721,1057036,961957,952042,890047,852187,865613,831622,844372,855275,755197,738034,745880,782903,670374,602351,590003
DE,FR,null,4318515,4174430,3966906,3733471,3682784,3724501,3694790,3807371,3647078,3265087,3284171,3570695,3700525,3490043,3065709,2951354
DE,HR,null,1189916,1052153,928620,821176,775553,724437,714671,671601,616000,591082,562976,565689,null,null,null,null
DE,HU,null,1151378,1093854,1000279,845229,760878,711329,701764,766600,756427,676646,663926,724875,742749,766387,760547,629189
DE,IE,null,1262784,1270292,1070542,997291,923614,824900,754136,719198,684043,664928,745276,786800,762434,716418,603639,356690
DE,IS,62135,331174,423333,386648,327980,230392,178577,146085,124277,107295,94853,103503,96720,98000,86731,68596,58407
DE,IT,null,7631830,7212443,7069579,6702922,6255204,5722677,5698518,5582367,5624748,5188483,4962090,5207442,5498957,5260784,4584917,4062957
DE,LT,null,277969,264722,239895,221254,208256,191163,190811,175339,141994,135168,89925,128614,129466,106746,89385,null
DE,LU,71079,298637,271440,249578,235990,189583,171587,167231,160852,145486,112056,108212,119856,109149,99429,105166,106378
DE,LV,null,486654,459877,440987,424013,388088,336810,318327,312919,302343,302434,291342,284434,250933,187521,185735,81864
DE,ME,null,98330,73616,54035,27322,null,null,null,null,null,null,null,null,null,null,null,null
DE,MK,null,278185,225541,190824,169854,123508,null,null,null,null,null,null,null,null,null,null,null
DE,MT,null,450920,414199,402793,334846,308043,297496,288655,265258,258838,209839,209509,239622,211300,181913,188901,184644
DE,NL,670516,2280982,2275936,2195201,2135812,2015621,1851452,1752574,1702244,1669062,1385566,1313929,1346711,1324336,1378198,1263085,1205209
DE,NO,null,896922,850832,803561,775325,815597,900904,912107,884692,910792,833927,776555,728613,667659,597238,470190,366925
DE,PL,null,2375384,2287179,2067350,1924434,1823143,1662259,1626843,1551963,1440175,1424299,1336759,1404072,1310179,1130283,397767,348171
DE,PT,null,2608245,2646166,2499124,2164942,1910417,1665442,1558346,1422307,1335079,1232877,1192383,1274608,1241863,1172495,1019911,1047284
DE,RO,null,1458993,1389380,1299436,1118815,941540,824618,773555,685916,651138,526378,488244,531913,440071,286710,222585,210338
DE,RS,null,552512,386768,315706,269298,null,null,null,null,null,null,null,null,null,null,null,null
DE,SE,null,1636053,1587889,1668730,1667298,1523147,1387433,1427049,1418459,1358170,1300414,1265191,1279835,1194904,1073065,718561,616753
DE,SI,null,125150,131368,116018,118720,118569,108817,110101,99408,99511,96189,92805,113453,103381,102806,125923,94060
DE,SK,1864,7650,17972,41468,52217,10199,697,1114,890,847,12450,31261,72200,78698,94181,51063,23362
DE,TR,null,8314623,7495836,6289366,6537152,7762806,7205593,6825145,6790678,null,null,null,null,null,null,null,null
DE,UK,null,7263624,7538036,7295001,6932463,6668409,6278486,6127391,5946382,5841824,5593890,5357388,5562678,5787414,5740070,5444705,5140944
DK,AT,null,283272,221260,212093,203773,185256,223233,238645,239632,210811,201221,156094,202654,197163,182160,181170,158745
DK,BE,null,349699,348954,367200,358368,288252,242752,240074,249861,227643,202613,200084,240341,226440,222527,219454,211093
DK,BG,20922,73087,72956,66808,51460,36638,33963,39065,39435,51472,55340,46676,67474,83909,null,null,null
DK,CH,null,422835,386721,376478,360923,372565,397106,357851,368258,373996,331869,314571,341742,320161,284945,294972,241293
