origin,destination,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
HU,ES,null,515151,463912,369244,324468,249743,187732,158719,222608,147841,150477,154089,155882,161174,130636,104701,89731
HU,FI,17536,125354,131553,124117,115967,109160,107390,107966,89301,100766,96187,89959,88239,95225,84432,80966,75348
HU,FR,null,396246,358465,358086,313769,269797,231881,222536,236396,252622,231092,250404,229919,252109,249186,250454,204082
HU,HR,null,195,null,477,106,1250,22506,25553,13110,22088,19038,22204,19530,null,null,null,null
HU,HU,null,227,1319,22,161,0,159,151,0,0,0,0,0,0,1221,0,0
HU,IE,null,142439,119044,116456,114340,96520,88167,79998,94276,85863,97265,111913,136801,108996,85736,78221,41198
HU,IS,7156,29075,24678,16916,13011,1388,1452,1396,1514,1322,1509,1118,9194,2256,2054,2897,2545
HU,IT,null,724480,635317,588220,516254,462746,373666,357717,376194,301109,288432,268125,234470,286038,285080,270899,163831
HU,LT,null,114,42,7,8,45,126,16,20,null,170,70,494,1,1400,9,null
HU,LU,4964,4545,101,48,2,2,140,3,11,2,2,136,null,233,3426,5304,6892
HU,LV,null,16389,13167,12105,12739,8026,11514,11484,9310,6074,null,18,7,29,39,7,17
HU,ME,null,19533,26488,12854,52,null,null,null,null,null,null,null,null,null,null,null,null
HU,MK,null,17529,20434,10889,78,null,null,null,null,null,null,null,null,null,null,null,null
HU,MT,null,55551,41939,40272,38685,29409,27225,17485,7458,8078,8680,7662,8432,8011,7949,9724,9723
HU,NL,121618,399078,399518,406753,392145,314838,318858,310357,293210,273172,202258,183826,176648,205478,196326,171895,163721
HU,NO,null,119895,107087,93293,92640,72012,56865,64732,62290,41970,41376,51395,53184,40726,40726,33031,13614
HU,PL,null,172463,140768,117450,105286,96096,85455,90493,68729,65990,56778,57227,60455,86815,85619,47171,43220
HU,PT,null,114442,103120,79379,38681,48123,37197,31995,26828,24386,22321,19213,22120,17747,14831,11207,6508
HU,RO,null,68067,77081,73021,49823,43629,41858,41947,42415,90713,78770,94247,103965,109880,97020,75747,66937
HU,RS,null,4425,3357,3993,3514,null,null,null,null,null,null,null,null,null,null,null,null
HU,SE,null,181008,182558,185102,176145,167146,141291,168159,171685,179719,162239,152595,134467,112448,98536,82653,49149
HU,SI,null,null,17,25,0,652,119,null,0,null,120,6134,10212,10595,10168,9226,6468
HU,SK,168,1707,41,225,52,426,198,403,680,71,431,61,372,429,45,170,139
HU,TR,null,263380,242985,197547,186548,243932,203587,141522,127989,null,null,null,null,null,null,null,null
HU,UK,null,1293116,1121739,1070731,1008142,858817,747677,656625,613296,511130,473475,474535,539557,472366,496675,547319,346582
IE,AT,null,128387,84644,68604,65116,60688,59416,63341,61467,62226,64765,74909,93741,99532,100010,73275,64198
IE,BE,null,254657,256809,254025,252960,270714,210134,211677,183398,170689,162689,197141,199084,197282,211265,221978,266314
IE,BG,16183,55111,50674,48427,22013,15149,13642,14008,15081,20677,17906,30812,44963,48572,null,null,null
IE,CH,null,248976,240100,218357,211422,193597,168240,158310,156427,144502,128596,146054,152473,131005,97200,90879,71905
IE,CY,null,18370,18817,6443,2077,7,10,3547,3686,6451,7922,15044,21388,31473,31832,36790,37788
IE,CZ,null,104854,103395,99122,96301,99136,76118,53292,51267,43236,62082,85478,159128,141178,130075,132100,114647
IE,DE,249806,1254582,1255522,1061605,988105,925659,824081,751425,722339,693038,668110,743428,778634,769288,720995,599149,402932
IE,DK,null,135898,138583,146114,141671,157997,137709,127905,100072,100292,93696,98146,126221,114577,86526,97090,88256
IE,EE,null,10425,10846,10997,10801,7037,3075,10966,15582,23656,2691,2084,6998,8898,9309,11949,1857
IE,EL,null,101386,81980,77264,68247,44291,39513,28159,25723,28215,26235,47552,83633,81368,67762,69717,66601
IE,ES,null,2291856,2168422,2082729,1974865,1723317,1549897,1533125,1466964,1436890,1370548,1546900,1770608,1744428,1461518,1361950,1279114
IE,FI,9349,56928,61402,54393,45755,30225,10763,18218,13972,10157,8973,23799,40677,51733,23584,20390,22113
IE,FR,null,1025768,968612,920666,933342,910657,831529,776045,764827,738995,767182,911841,993844,950454,868883,720819,628797
IE,HR,null,119012,80495,67081,55628,50791,44936,39831,29206,33648,34621,38047,39895,null,null,null,null
IE,HU,null,143491,119228,119004,116499,99144,91564,83581,97424,87541,98314,111529,140368,115722,88531,80704,40668
IE,IE,null,81059,84119,71535,70032,65306,56002,60249,51605,109177,369339,662381,915310,1033549,1209096,1016875,858204
IE,IS,9539,72627,110584,65577,39472,15028,4062,3352,2043,1198,729,388,3742,2995,2078,2715,3538
IE,IT,null,805777,744700,681769,651667,618243,503362,486292,483102,454376,453947,532872,578329,612358,534490,398624,279733
IE,LT,null,84950,85325,84598,85626,86757,86598,81525,95314,89626,86527,79628,117340,102264,68261,49822,null
IE,LU,8838,45861,32042,18494,16564,14281,9122,15,143,5779,5732,6449,8622,1364,47,15,133
IE,LV,null,74045,56060,57375,58489,63265,57225,54035,57607,61040,75319,71883,109045,114554,94903,29161,13223
IE,ME,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IE,MK,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null
IE,MT,null,52723,39868,40382,38515,38627,29658,29611,28313,27170,28917,25553,30296,29161,13577,13454,17639
IE,NL,215983,740923,737371,687247,615967,450737,411466,401311,376588,371738,333911,349298,389164,389429,388993,360413,307614
IE,NO,null,67660,71642,73736,69628,74179,68863,63374,68520,76606,65670,54385,55428,66936,30650,23059,18596
IE,PL,null,511550,484934,508796,523449,483809,440363,436513,440814,472260,394586,442305,521481,595794,333505,69388,22416
IE,PT,null,683722,563909,546107,484095,417178,380535,343053,309441,299535,294613,301890,320444,359740,282678,207732,179125
IE,RO,null,119705,116273,114176,90240,67403,62617,39941,37885,44825,30798,26083,24078,2800,9,null,153
IE,RS,null,2,29,165,78,null,null,null,null,null,null,null,null,null,null,null,null
IE,SE,null,85213,78804,75660,54083,41416,52687,74773,72000,61869,50966,54674,82898,104082,79336,37540,29437
IE,SI,null,96,69,27,0,0,null,null,null,939,997,1226,1525,1774,1447,3754,1998
IE,SK,18270,62843,64426,64155,66364,63494,49754,48621,42758,43907,44177,35483,104494,63958,39144,2894,133
IE,TR,null,136671,112909,94868,94738,119875,110240,110495,97394,null,null,null,null,null,null,null,null
IE,UK,null,6573742,6475489,6397267,6349290,5755338,5179612,4805118,4719864,4814645,4750132,5406172,6109655,6095537,6146702,5870464,5403285
IS,AT,null,34845,8280,8704,13910,10491,8267,6742,4820,4344,4298,2576,4272,3803,3860,4032,2860
IS,BE,null,53449,78179,64009,30585,19419,15313,10336,9609,7828,4951,232,992,214,339,374,612
IS,BG,0,53,null,1249,null,null,null,null,null,null,47,null,1049,2154,null,null,null
IS,CH,null,80971,85814,71678,58772,49583,35363,9873,6951,4809,5084,4976,4776,3611,3406,4281,4602
IS,CY,null,3,7,null,null,null,3,5,102,null,null,0,0,null,null,5,null
IS,CZ,null,10274,14969,15025,1422,2094,1735,1533,3713,1309,1010,1071,2387,2914,1894,3341,2460
IS,DE,60848,331949,417722,402106,326652,230568,177888,147248,126665,115171,103159,101032,96155,98393,89559,69364,60017
IS,DK,null,281045,304353,300413,278421,234205,220075,212252,201010,200456,176544,179016,219103,249410,230647,220261,203775
IS,EE,null,null,429,259,360,257,180,702,345,399,363,277,734,1705,1923,1525,257
IS,EL,null,2269,2715,2044,1989,1890,2390,2091,8,546,1,14,5471,5765,3734,3962,3862
IS,ES,null,157075,202009,161245,123123,90308,64007,53862,53702,44125,36336,35292,85006,76475,82095,60098,47761
IS,FI,16607,115634,106251,101517,74834,56067,39543,30157,28096,25062,17365,12842,14121,11948,9514,13090,8092
IS,FR,null,161527,272732,263390,228957,146393,124896,100002,83553,71439,51506,44524,49015,54259,46240,40654,36816
IS,HR,null,1008,855,299,null,null,null,710,null,2,6,8,15,null,null,null,null
IS,HU,null,27242,23652,18086,13536,1389,1597,1902,1466,1311,1502,1111,1777,2249,1403,2824,2593
IS,IE,null,73781,111817,67338,39111,16254,4800,3427,2258,1419,800,404,3372,2651,2365,2998,4105
IS,IS,118863,248135,277856,2732,0,null,null,null,null,null,null,null,null,null,null,1233,1065
IS,IT,null,17943,25778,17754,20975,19146,12904,12103,10128,6790,8628,7912,11138,13794,11430,10279,9082
IS,LT,null,14466,15521,17282,4864,1938,1880,1943,2022,null,231,null,412,920,769,null,null
IS,LU,3,2,785,151,523,157,6,null,5,48,2450,null,261,1273,401,358,0
IS,LV,null,25633,22198,12599,4118,889,398,1044,842,973,1620,6,206,758,27,139,6
IS,ME,null,165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
IS,MT,null,8,null,null,null,null,null,null,null,null,null,null,null,0,null,88,202
IS,NL,37994,148885,225957,212307,157067,102519,79737,69048,59503,50175,44175,41681,45689,46771,40331,38250,33419
IS,NO,null,193903,192275,197345,186586,177816,160206,145461,122963,107784,93052,83358,82573,90419,74694,64714,57204
IS,PL,null,119428,110950,69439,37811,19266,7367,6803,8935,9182,12287,9688,9988,1569,868,613,9
IS,PT,null,2111,3123,3431,2881,1982,2221,904,2821,361,1341,351,3849,4196,5787,6458,7521
IS,RO,null,5,3,2,8,null,null,null,8,6,5,351,15,4,17,null,77
IS,RS,null,null,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null
IS,SE,null,96009,130595,138283,115415,92641,79867,74341,74885,66460,55398,51282,58456,72713,65706,59392,53598
IS,SI,null,948,961,1125,1635,1591,1234,1078,1031,539,200,null,null,528,1712,774,null
IS,SK,38,436,596,634,639,700,955,532,17,101,32,34,34,15,169,null,null
IS,TR,null,496,156,null,1147,5122,4518,1167,2208,null,null,null,null,null,null,null,null
IS,UK,null,630233,793366,778791,647356,485550,382965,299299,221938,192566,169014,159511,179637,221036,215606,197613,199370
IT,AT,null,1036763,786091,593386,620842,620237,626683,591750,572775,604690,522787,447103,540729,491519,427064,400178,415830
IT,BE,null,1774437,1690792,1731020,1653030,1726999,1653764,1481712,1475718,1463741,1309329,1216082,1160688,1169709,1135655,1031113,1150628
IT,BG,94535,350512,405592,404822,276909,208095,183749,169551,172399,174151,169318,149545,149773,175851,null,null,null
IT,CH,null,1490382,1534827,1442643,1376150,1255962,1188859,1122006,1031373,952482,845961,820261,853946,815609,767786,682394,507809
IT,CY,null,60024,59835,41771,36363,40620,25944,58933,68028,33599,36285,37584,52947,43065,44699,40365,41092
IT,CZ,null,753668,692610,693811,527531,488435,450218,441948,456544,466522,424212,429071,460658,454090,366660,269808,253561
IT,DE,1621494,7553111,7123525,6964706,6561235,6160760,5826629,5625068,5513474,5568894,5249753,5021933,5258456,5475214,5330192,4594382,4122318
IT,DK,null,749170,753501,751266,744980,678696,618307,611394,531461,476995,502414,433243,440705,452067,425757,393921,393484
IT,EE,null,44613,47840,46196,45924,33461,26619,27080,29207,25675,6266,5506,22787,17971,14025,11804,8965
IT,EL,null,1907153,1799674,1681271,1627670,1493633,1344392,1144370,1098460,1207913,1060759,1018736,1152165,1276775,1197577,1082945,953156
IT,ES,null,8110657,7631524,6990537,6501092,5915145,5228803,4823094,5407067,5901364,5313916,4759876,4955365,5136583,4125388,3715513,3174216
IT,FI,36524,298406,291008,272689,250893,282909,280368,247452,262142,259280,216925,219286,267051,202502,154324,126529,112964
IT,FR,null,5951240,5676606,5470086,5287401,5293615,5045103,4850155,4758164,4524783,4070243,3877724,4013049,3870723,3431506,3178821,3085605
IT,HR,null,193796,180446,150329,121430,130430,110763,76452,71859,84383,76535,54297,58642,null,null,null,null
IT,HU,null,731483,643880,593038,521595,465778,374741,360744,375577,303882,290845,267987,243839,297713,292693,268717,162027
IT,IE,null,803559,736316,682112,646575,614037,509661,478716,477985,447064,449177,529106,577411,610294,531835,403272,282016
IT,IS,5242,17628,25603,18154,20547,18901,12770,11884,9723,6778,8461,7760,10399,11146,11938,13612,12005
IT,IT,null,32313592,31891190,30869150,29964972,29450127,27173907,28498730,30301382,31962547,30026052,28479921,28153555,29316934,26193117,24574037,23970828
IT,LT,null,195197,183856,162628,140826,143034,130430,108933,86705,64997,30836,5246,53455,32401,12932,10728,null
IT,LU,58608,206994,198676,166867,120613,107769,93254,81188,56702,56270,47522,43445,52669,53722,56204,53062,56038
IT,LV,null,138683,126596,116902,93034,93445,103669,118397,127690,157631,123990,115488,84488,42357,21524,22892,8701
IT,ME,null,60467,49082,47500,38474,null,null,null,null,null,null,null,null,null,null,null,null
IT,MK,null,59516,54405,42055,53275,56320,null,null,null,null,null,null,null,null,null,null,null
IT,MT,null,719311,708526,612319,536189,467318,413495,368727,316325,312774,326294,250870,246425,239599,201638,186253,191036
IT,NL,722280,2537386,2545743,2518506,2332249,2140590,1942715,1757428,1684818,1624396,1454454,1311496,1372110,1435432,1359956,1216841,1060265
IT,NO,null,255209,246247,235578,207915,189085,242017,247823,234715,232368,235572,193482,217099,222260,204648,143143,63783
IT,PL,null,1369152,1290120,1128452,909012,815235,714373,631594,546980,557194,546752,422425,402185,473271,413428,195901,158117
IT,PT,null,1263595,1115159,1009455,832654,775131,639060,610100,616305,635626,578412,465704,515411,485475,461942,368065,307980
IT,RO,null,1809886,1711480,1629954,1500019,1226477,1051787,1061502,1065527,1096883,943639,801028,771279,750981,545951,349910,332240
IT,RS,null,158780,122603,108380,81108,null,null,null,null,null,null,null,null,null,null,null,null
IT,SE,null,426547,487926,486458,419181,370485,386991,399986,401632,455681,410503,367746,388052,343268,292654,164628,168794
IT,SI,null,975,1868,1957,2036,784,489,1094,537,909,845,736,1027,2993,4278,1911,459
IT,SK,16112,109025,119819,115283,113098,121462,107369,96724,79876,93523,121270,107108,97557,106570,118140,65364,24228
IT,TR,null,1100654,1035457,960978,985920,1104588,1035613,928036,773275,null,null,null,null,null,null,null,null
IT,UK,null,8010244,7878945,7521737,7036593,6338652,5943731,5501606,5406557,5124640,4809595,4957408,5385589,5621990,5300432,5384603,4854928
LT,AT,null,35531,29787,29718,26195,26976,28642,28357,26496,22304,19292,17912,19594,18758,19350,18420,15113
LT,BE,null,48383,48062,45470,46172,51738,46734,56629,41587,40518,33578,12187,35271,24541,13556,13411,7635
LT,BG,844,19709,28040,22174,21473,14853,17154,14571,10111,6225,3748,4363,4010,3065,null,null,null
LT,CH,null,161,202,1056,5249,955,144,178,172,148,142,null,1287,5839,158,306,88
LT,CY,null,30316,29759,25984,22133,21369,17285,6590,7998,0,835,563,2298,2268,2071,1019,905
LT,CZ,null,87,87,5,4,848,6000,1903,9822,33269,34956,58815,47274,52285,49167,39409,34432
LT,DE,78820,279337,267779,242160,221036,203535,184896,183378,172876,143569,138082,151526,229159,168741,115193,95644,84957
LT,DK,null,174471,171190,162247,168425,124612,100449,101216,94781,86518,100397,78667,105601,109906,103653,86429,72878
LT,EE,null,45924,46592,41716,33100,23286,28636,17757,37503,18047,25630,17011,42047,27038,19747,18468,15465
LT,EL,null,75611,84115,47205,49419,46098,45091,38304,32081,32018,17735,24870,31544,27525,15757,6869,5614
LT,ES,null,133790,146554,122527,122748,112290,77891,72596,65587,44900,23488,16082,35198,18904,9083,10824,9956
LT,FI,15333,75045,58044,51377,47924,41868,40973,50881,57397,57481,46915,39322,53411,46723,38467,33502,24650
LT,FR,null,83650,85527,70466,57207,50380,53407,38975,33775,25091,26107,752,28534,12433,10182,10975,7199
LT,HR,null,537,135,181,null,77,237,120,60,null,461,1609,1512,null,null,null,null
LT,HU,null,110,115,166,80,null,0,null,0,0,0,231,478,2,1460,0,null
LT,IE,null,88042,87870,88544,89961,90607,89688,83382,97159,90550,86117,78835,119050,101675,67935,45189,12472
LT,IS,3219,14856,14500,16117,5179,2020,2096,2082,2222,null,223,null,451,926,604,null,null
LT,IT,null,197850,184775,156009,143870,143203,133452,109871,85333,64814,30940,5084,54377,13364,6877,11827,2271
LT,LT,null,11,375,122,360,428,745,112,225,92,380,159,1976,1276,4283,17971,null
LT,LU,null,null,null,52,null,1,0,0,4,0,null,30,null,0,0,null,24
LT,LV,null,152858,130676,110358,99937,99297,102456,110499,111053,119311,101802,117983,44173,15118,10530,9779,8412
LT,ME,null,3669,4437,1390,0,null,null,null,null,null,null,null,null,null,null,null,null
LT,MK,null,null,null,41,null,null,null,null,null,null,null,null,null,null,null,null,null
LT,MT,null,18211,17542,13285,13848,11382,11322,10645,8471,581,445,1537,2869,1793,41,null,312
LT,NL,35063,80689,81190,71532,54652,48409,32820,36926,24338,26150,26607,1544,47160,42722,37759,43855,44647
LT,NO,null,213673,211463,178595,174004,167701,143241,135463,93695,54621,36207,26428,43307,36246,27227,16195,8559
LT,PL,null,138704,156514,96869,67164,51032,49429,46188,36926,30454,29054,26544,23732,27017,34260,26970,22188
LT,PT,null,7879,2629,3512,2719,1843,849,448,123,504,689,562,631,null,79,null,null
LT,RO,null,1,94,null,42,null,null,53,18,4,31,80,3,63,27,33,2
LT,RS,null,340,882,null,null,null,null,null,null,null,null,null,null,null,null,null,null
LT,SE,null,83201,101614,87821,86430,54205,34491,24868,17872,38646,8333,9474,23192,25840,31311,14096,21048
LT,SI,null,11,null,96,134,null,154,487,78,589,null,null,null,0,null,35,135
LT,SK,0,null,null,6,null,null,null,0,149,1,8,2,null,6,0,1,0
LT,TR,null,223526,191966,134909,112796,109676,88829,59248,40798,null,null,null,null,null,null,null,null
LT,UK,null,584740,591735,519765,495468,415724,367294,365002,356445,275416,227661,154144,176681,168884,157812,107346,45952
LU,AT,null,62602,54378,51594,50978,47645,39956,34020,29707,28039,27430,27467,30250,27519,30928,31506,31333
LU,BE,null,624,1074,644,723,468,75,687,351,545,463,541,538,373,472,614,589
LU,BG,3412,12490,12215,12181,11205,11356,11685,12776,10747,9740,6434,6051,5760,4034,null,null,null
LU,CH,null,88911,91707,92913,84593,86161,88247,83757,87287,78070,67460,65111,61964,57738,47931,39278,34233
LU,CY,null,297,26,123,31,170,152,168,2132,3696,3922,3861,4312,4126,22,41,1
LU,CZ,null,6924,6956,6258,6118,31,45,26,156,6023,7354,7306,2682,89,6200,7765,3983
LU,DE,72730,297931,269280,248639,232131,184979,170737,164397,156995,140993,109366,105511,113981,105097,95826,102907,104599
LU,DK,null,39776,38987,29322,24767,39637,42557,32073,27428,28464,28799,27068,38520,36834,41797,27612,20209
LU,EE,null,41,null,43,null,null,null,null,null,53,null,null,null,null,97,null,49
LU,EL,null,41432,37320,33842,34442,30890,27949,27373,24829,26880,24380,26004,30610,32375,30450,35511,32423
LU,ES,null,293764,274414,241692,206105,179549,155189,148976,132162,125429,106869,102854,119535,114975,106519,116137,130675
LU,FI,709,644,446,542,755,597,236,149,12,null,19,127,18,107,16,24,30
LU,FR,null,175151,129642,98696,91189,72278,60929,59206,50143,49905,47368,47087,59341,73481,82859,83856,77900
LU,HR,null,4877,4137,3302,3617,1740,1615,1902,205,289,394,1128,1395,null,null,null,null
LU,HU,null,4417,112,44,0,0,0,0,108,60,0,95,42,7,3423,5332,6846
LU,IE,null,45707,31526,18835,17385,15036,9537,null,65,24663,5957,6868,9150,1503,45,31,158
LU,IS,null,null,718,151,523,156,null,null,72,119,3077,55,105,1268,651,492,0
LU,IT,null,205148,199888,171287,125178,111811,93769,80503,58691,53499,47907,43476,53275,55003,56963,54514,57600
LU,LT,null,6,null,34,3,9,45,38,2,5,null,31,null,3,null,3,null
LU,LU,null,186,177,192,39,448,142,144,144,142,137,161,213,117,0,0,null
LU,LV,null,null,3,0,2,1,4,44,2,4,148,315,5,4,65,null,78
LU,ME,null,783,70,null,0,null,null,null,null,null,null,null,null,null,null,null,null
LU,MK,null,40,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
LU,MT,null,16326,874,701,1767,794,1362,1788,1386,1415,1287,1312,2410,2364,2686,3374,2810
LU,NL,31657,93167,91217,83907,81440,74688,67235,62441,58913,53562,47151,36066,38129,38914,36626,37106,37636
LU,NO,null,8,9,17,6,2,18,241,3,75,79,494,0,0,29,56,2
LU,PL,null,29400,26827,20386,10427,52,196,287,43,186,407,189,61,71,27,3829,1455
LU,PT,null,360502,336977,304285,225258,174591,141316,95543,86836,79754,72467,68107,63046,60876,69959,60071,55686
LU,RO,null,2,1,6,69,null,3,null,null,161,null,63,22,144,138,50,927
LU,RS,null,181,9,3,27,null,null,null,null,null,null,null,null,null,null,null,null
LU,SE,null,1273,13981,17115,17001,11579,6290,37,45,405,28,40,1427,957,33,47,2626
LU,SI,null,null,129,72,null,null,null,null,65,null,null,null,107,171,45,96,66
LU,SK,16,10,15,16,8,47,2,35,11,2,null,45,11,5,0,18,47
LU,TR,null,56677,50560,38702,36096,60930,55684,34172,20677,null,null,null,null,null,null,null,null
LU,UK,null,294238,276775,274834,216082,194733,188342,183018,137109,125206,104615,99208,107289,110217,104439,95107,91405
LV,AT,null,68023,55030,51271,45209,43490,42493,38118,37619,30183,22304,22445,30288,31580,23703,22662,16317
LV,BE,null,74663,69202,63505,57003,81959,40736,52314,63918,74558,74051,59441,35759,24446,17075,14389,8084
LV,BG,43,13856,21658,11816,13313,12601,14417,9755,7268,4540,3715,4513,5083,2587,null,null,null
LV,CH,null,64267,62407,45338,34088,39674,22591,24028,24264,24027,28161,20718,13554,10359,1349,846,310
LV,CY,null,29060,23671,7817,6213,6688,6962,4200,13,4,0,7,1383,2677,1723,1456,73
LV,CZ,null,54665,29998,27374,21923,20154,16905,13078,10168,27387,28936,35521,40919,46808,45674,37003,36958
LV,DE,150045,475618,448710,429003,405732,378548,325636,303998,298287,285715,289073,281152,272773,236688,180187,180074,81181
LV,DK,null,140558,132255,115866,90329,87607,84999,80786,85791,76648,74550,71038,84266,79001,76430,58268,61304
LV,EE,null,146108,122336,110802,103182,95290,94181,100912,95855,89616,74302,78267,39959,21097,15945,13301,10624
LV,EL,null,47861,46686,43677,37960,33284,22625,16311,21810,23389,20994,20037,29149,24105,10343,6863,3197
LV,ES,null,117963,105730,70180,51340,46716,51503,49023,46165,68821,57487,41082,32661,25793,13672,9109,3391
LV,FI,52910,202445,187299,171028,144000,136598,136933,142975,178913,235249,212572,137302,117978,94355,89945,82557,49318
LV,FR,null,92947,87792,71195,63195,78657,78594,64750,49876,61281,51405,54783,41249,17308,12333,9015,190
LV,HR,null,9640,8301,4007,4050,3923,287,null,190,159,1267,1439,1962,null,null,null,null
LV,HU,null,15882,13815,12048,13454,7909,11521,11019,9293,5634,null,8,0,null,null,0,0
LV,IE,null,77443,56980,58451,60033,64679,58330,54295,59035,61672,75535,71046,108492,117117,93700,27044,10691
LV,IS,7929,25591,21441,12075,3441,622,178,777,846,834,900,null,195,364,null,131,75
LV,IT,null,135645,124572,114836,92664,92769,103329,120522,131814,159340,126218,118938,87490,43778,22161,23210,9147
LV,LT,null,152808,132883,112394,101110,93979,100071,106423,105487,118475,99185,118586,43568,13978,10268,10473,null
LV,LU,5,11,3,6,9,null,0,32,0,null,null,309,109,null,null,0,null
LV,LV,null,7482,5391,3090,674,2,2,6,11,104,7,201,10425,5184,566,252,60
LV,ME,null,2973,2633,894,null,null,null,null,null,null,null,null,null,null,null,null,null
LV,MT,null,24939,24008,9532,2792,2708,4166,2575,183,null,null,null,87,442,412,207,360
LV,NL,43338,107195,111291,94400,85777,79035,79407,69094,65671,47018,34475,53754,52037,55235,50554,51729,36005
LV,NO,null,212404,193795,179547,180550,190131,171459,181599,179752,180122,165481,117070,98708,93597,64871,20115,9158
LV,PL,null,101621,86899,57850,47782,43477,40033,32765,32104,41611,27050,17811,17006,17795,15992,11949,10711
LV,PT,null,14104,10804,1576,985,1190,501,694,228,303,281,634,246,543,null,86,905
LV,RO,null,2,null,null,142,5121,5643,2,null,911,6037,33,24,null,9,null,6
LV,RS,null,110,160,null,65,null,null,null,null,null,null,null,null,null,null,null,null
LV,SE,null,144414,159448,131657,114848,105816,89678,102493,94227,110843,118518,120836,106963,100214,78855,29889,29226
LV,SI,null,142,null,null,null,70,null,null,null,null,209,null,48,null,70,38,62
LV,SK,53,544,258,85,158,50,65,583,null,1,null,7,3,4,140,103,203
LV,TR,null,105648,77638,60910,56325,77045,83255,98034,92719,null,null,null,null,null,null,null,null
LV,UK,null,415911,414356,420084,393444,358581,302915,269452,249049,286315,268876,220821,228076,238754,228344,151614,61232
ME,AT,null,43911,41305,39816,39448,35920,33957,33397,29916,25934,21651,17325,25229,20530,11007,6474,4943
ME,BE,null,25694,26484,25843,20928,19539,15773,10110,4002,3414,4412,4142,5798,4852,3979,5,null
ME,BG,84,933,324,386,73,null,null,null,null,63,62,152,96,64,null,null,null
ME,CH,null,16653,16968,13851,12616,13772,11311,14813,16100,16624,20483,11125,10219,9107,6925,5882,5741
ME,CY,null,431,92,10,8,4,1,15,15,4,42,242,20,16,6,1,null
ME,DE,28081,91305,68376,50156,24922,19396,15688,20386,19768,17045,24247,14959,15731,18572,24032,24976,23317
ME,DK,null,6308,9033,6581,4069,4122,4094,2671,3980,2183,5379,1019,null,25,989,525,577
ME,EE,null,2168,2946,2316,null,null,null,null,null,null,58,null,null,44,null,null,null
ME,EL,null,2239,2644,1543,137,150,487,151,117,156,227,35,51,274,46,611,360
ME,ES,null,7732,138,263,226,92,87,387,240,243,26,140,47,22,210,195,29
ME,FI,null,7526,4801,3972,8,null,6,2,46,3,0,565,869,2948,4565,null,2
ME,FR,null,49235,40230,35989,24722,23356,23938,22815,21071,16858,14057,11059,9388,10560,10068,6990,1798
ME,HR,null,621,5704,224,365,94,539,378,6341,6141,7038,5762,4592,null,null,null,null
ME,HU,null,18193,25434,12368,29,145,373,101,564,9444,6961,6942,7122,4719,2037,3138,1292
ME,IE,null,null,null,null,null,null,null,null,null,null,null,76,65,36,2073,null,null
ME,IS,null,176,null,null,null,60,null,null,37,null,null,null,42,null,null,null,null
ME,IT,null,54452,46141,44742,41382,38125,27943,27841,26646,28277,28937,16292,17934,16787,15272,8888,5472
ME,LT,null,3626,4651,1572,null,3,4,3,null,9,7,4,null,88,null,43,null
ME,LU,116,764,70,5,46,46,140,71,9,137,4,62,null,0,980,92,212
ME,LV,null,3089,2656,891,8,261,8,176,null,null,null,null,24,16,null,null,null
ME,ME,null,null,null,0,0,null,null,null,null,null,null,null,null,null,null,null,null
ME,MK,null,40,null,0,null,97,null,null,null,null,null,null,null,null,null,null,null
ME,MT,null,254,0,100,53,109,null,0,null,102,null,69,null,null,null,null,null
ME,NL,2,279,3071,3685,691,34,22,17,245,15,0,0,18,21,214,4,161
ME,NO,null,5648,6403,4380,2632,2029,3390,2185,2147,1482,1407,2321,2006,2399,1506,1180,168
ME,PL,null,53504,41176,14716,8574,4685,6943,4781,0,126,129,8,8,19,0,9,null
ME,PT,null,5,36,126,6,119,1,26,17,18,null,8,null,45,null,null,null
ME,RO,null,null,176,193,206,null,null,3,null,13,18,4,10,32,11,null,10
ME,RS,null,281350,216776,208428,209003,null,null,null,null,null,null,null,null,null,null,null,null
ME,SE,null,20935,27236,17423,1152,1136,1689,1637,1198,3326,4003,3817,4026,4388,4259,4131,4261
ME,SI,null,27267,30169,24382,17908,15317,12390,11933,10028,10500,9279,10141,8927,7786,6685,6718,7662
ME,SK,8,1601,2829,2029,1910,17,13,17,76,41,36,0,null,1040,1993,null,null
ME,TR,null,64048,65321,50693,40960,36815,29949,27821,20861,null,null,null,null,null,null,null,null
ME,UK,null,62056,56888,44732,40353,24859,18712,5265,5971,7314,9385,6569,3505,373,1832,2131,33
MK,AT,null,89610,62913,60592,52839,50287,50426,53291,51749,49111,40804,40237,46938,44286,40156,38493,35289
MK,BE,null,29238,26791,23493,19110,21823,18245,6226,4179,42,1950,331,72,null,92,28,null
MK,BG,31,833,631,536,183,459,22,290,386,0,442,613,2784,103,null,null,null
MK,CH,null,88056,88625,83604,85318,74910,53523,54160,86315,79614,60495,32315,45888,54969,57090,63725,58927
